Ticker,Name,Last,MktCap,PeriodDateQ,SectorCode,IndCode
AABVF,Aberdeen International Inc,0.32,35.96,10/31/2020,FINANCIAL,INVESTSVCE
AAGIY,AIA Group Ltd,51.9,156491.08,6/30/2020,FINANCIAL,INSURANCE
AAIC,Arlington Asset Investment Corp,4,133.15,12/31/2020,FINANCIAL,BANKSMORTG
AAMC,Altisource Asset Management Corp,23.17,37.82,9/30/2020,FINANCIAL,INVESTSVCE
AAME,Atlantic American Corp,4.96,101.25,9/30/2020,FINANCIAL,INSURANCE
AAMTF,Armada Mercantile Ltd,0.15,2.7,11/30/2020,FINANCIAL,INVESTSVCE
AASP,All American Sportpark Inc,1.95,11.03,9/30/2020,FINANCIAL,INVESTSVCE
AAVMY,ABN AMRO Bank NV,11.43,10743.26,12/31/2020,FINANCIAL,BANKSINTL
AB,AllianceBernstein Holding LP,36.82,3611.75,12/31/2020,FINANCIAL,INVESTSVCE
ABBB,Auburn Bancorp Inc,12,6,9/30/2020,FINANCIAL,BANKSUSA
ABCB,Ameris Bancorp,48.35,3362.33,12/31/2020,FINANCIAL,BANKSUSA
ABCP,Ambase Corp,0.33,13.44,9/30/2020,FINANCIAL,INVESTSVCE
ABR,Arbor Realty Trust Inc.,16.36,2015.24,12/31/2020,FINANCIAL,REIT
ABTX,Allegiance Bancshares Inc,37.71,762.04,12/31/2020,FINANCIAL,BANKSUSA
AC,Associated Capital Group Inc,35.56,792.99,12/31/2020,FINANCIAL,INVESTSVCE
ACBI,Atlantic Capital Bancshares Inc,19.74,402.6,12/31/2020,FINANCIAL,BANKSUSA
ACCFF,Accord Financial Corp,5.49,47,9/30/2020,FINANCIAL,FINSPECIAL
ACGBY,Agricultural Bank of China Ltd,9.32,11456.97,9/30/2020,FINANCIAL,BANKSINTL
ACGL,Arch Capital Group Ltd,35.16,14300.3,12/31/2020,FINANCIAL,INSURANCE
ACMTA,ACMAT Corp,34.5,26.64,9/30/2020,FINANCIAL,INSURANCE
ACNB,ACNB Corp,27.25,237.33,12/31/2020,FINANCIAL,BANKSUSA
ACR,ACRES Commercial Realty Corp,12.6,134.79,9/30/2020,FINANCIAL,REIT
ACRE,Ares Commercial Real Estate Corp,13.87,463.85,12/31/2020,FINANCIAL,REIT
ACY,AeroCentury Corp,12.85,19.86,9/30/2020,FINANCIAL,FINSPECIAL
ADCOF,Adcore Inc,2.11,117.77,9/30/2020,FINANCIAL,INVESTSVCE
ADFT,Adfitech Inc,2,12.97,9/30/2020,FINANCIAL,BANKSMORTG
ADGS,ADGS Advisory Inc,0.25,316.21,11/30/2020,FINANCIAL,INVESTSVCE
ADKT,Adirondack Trust Co,1722.05,68.88,1/1/1970,FINANCIAL,BANKSUSA
ADS,Alliance Data Systems Corp,87.11,4155.15,12/31/2020,FINANCIAL,FINSPECIAL
ADYEY,Adyen N.V,52.24,79290.49,12/31/2020,FINANCIAL,FINSPECIAL
AEG,Aegon NV,4.89,9968.54,6/30/2020,FINANCIAL,INSURANCE
AEL,American Equity Investment Life Holding Co,28.86,2653.15,12/31/2020,FINANCIAL,INSURANCE
AER,AerCap Holdings NV,46.96,6093.37,9/30/2020,FINANCIAL,FINSPECIAL
AFBI,AFFINITY BANCSHARES INC,11.31,77.65,9/30/2020,FINANCIAL,BANKSUSA
AFG,American Financial Group Inc,110.44,9530.97,12/31/2020,FINANCIAL,INSURANCE
AFHIF,Atlas Financial Holdings Inc,0.21,2.49,6/30/2020,FINANCIAL,INSURANCE
AFL,AFLAC Inc,49.21,34075.66,12/31/2020,FINANCIAL,INSURANCE
AFRM,Affirm Holdings Inc,104.83,13606.17,12/31/2020,FINANCIAL,FINSPECIAL
AFTPY,Afterpay Ltd,117.91,31556.47,6/30/2020,FINANCIAL,FINSPECIAL
AGESY,Ageas SA/NV,57.33,10727.19,9/30/2020,FINANCIAL,INSURANCE
AGFMF,AGF Management Ltd,5.62,392.99,11/30/2020,FINANCIAL,INVESTSVCE
AGM,Federal Agricultural Mortgage Corp.,84.99,912.44,9/30/2020,FINANCIAL,INVESTSVCE
AGMH,AGM Group Holdings Inc-REDH,15.77,343.58,6/30/2020,FINANCIAL,INVESTSVCE
AGNC,AGNC Investment Corp,16.51,8907.15,12/31/2020,FINANCIAL,REIT
AGO,Assured Guaranty Ltd,39.61,3257.89,9/30/2020,FINANCIAL,INSURANCE
AGRPY,Absa Group Ltd,16.75,6928.06,6/30/2020,FINANCIAL,BANKSINTL
AHCCF,Apollo Healthcare Corp,3.64,268.36,9/30/2020,FINANCIAL,INVESTSVCE
AIG,American International Group Inc,44.1,37994.71,12/31/2020,FINANCIAL,INSURANCE
AIHS,Senmiao Technology Ltd,2.13,94.15,12/31/2020,FINANCIAL,FINSPECIAL
AIKO,Alternative Investment Corp,1.35,0.58,6/30/2020,FINANCIAL,INVESTSVCE
AINC,Ashford Inc,9.18,23.31,9/30/2020,FINANCIAL,INVESTSVCE
AINV,Apollo Investment Corp,13.89,906.45,12/31/2020,FINANCIAL,INVESTSVCE
AISSF,A.I.S. Resources Ltd,0.06,6.75,9/30/2020,FINANCIAL,INVESTSVCE
AIZ,Assurant Inc.,126.89,7355.54,12/31/2020,FINANCIAL,INSURANCE
AJG,Arthur J. Gallagher & Co.,120.9,23418.33,12/31/2020,FINANCIAL,INSURANCE
AJX,Great Ajax Corp,10.84,249.69,9/30/2020,FINANCIAL,REIT
AKBTY,Akbank,1.79,4648.8,6/30/2020,FINANCIAL,BANKSINTL
AL,Air Lease Corp,46.49,5289.58,9/30/2020,FINANCIAL,FINSPECIAL
ALBY,Community Capital Bancshares Inc,11.41,14.36,12/31/2020,FINANCIAL,BANKSUSA
ALIZY,Allianz SE,23.66,97398.72,12/31/2020,FINANCIAL,INSURANCE
ALL,Allstate Corp (The),105.31,32014.24,12/31/2020,FINANCIAL,INSURANCE
ALLY,Ally Financial Inc,42.63,15972.35,12/31/2020,FINANCIAL,FINSPECIAL
ALPIB,Alpine Banks of Colorado,29.75,226.11,12/31/2020,FINANCIAL,BANKSUSA
ALRS,Alerus Financial Corp,28.37,485.84,12/31/2020,FINANCIAL,BANKSUSA
ALTA,Altabancorp,35.6,670.3,12/31/2020,FINANCIAL,BANKSUSA
ALTG,Alta Equipment Group Inc,10.54,311.05,9/30/2020,FINANCIAL,INVESTSVCE
AMAL,Amalgamated Bk New York N Y,17.15,532.5,12/31/2020,FINANCIAL,BANKSUSA
AMBC,Ambac Financial Group Inc,16.14,739.36,9/30/2020,FINANCIAL,INSURANCE
AMBK,American Bank Inc,12,47.64,9/30/2020,FINANCIAL,BANKSUSA
AMBZ,American Business Bank/CA,34,270.04,12/31/2020,FINANCIAL,BANKSUSA
AMEN,AMEN Properties Inc,387.9,20.28,9/30/2020,FINANCIAL,INVESTSVCE
AMFC,AMB Financial Corp.,17.27,16.71,9/30/2020,FINANCIAL,BANKSUSA
AMG,Affiliated Managers Group Inc.,143.06,6294.64,12/31/2020,FINANCIAL,INVESTSVCE
AMIGY,Admiral Group PLC,43.29,12729.19,6/30/2020,FINANCIAL,INSURANCE
AMNB,American National Bankshares Inc,29.76,326.84,12/31/2020,FINANCIAL,BANKSUSA
AMP,Ameriprise Financial Inc,225.88,26796.51,12/31/2020,FINANCIAL,INVESTSVCE
AMRB,American River Bankshares,15.1,89.07,12/31/2020,FINANCIAL,BANKSUSA
AMRK,A-Mark Precious Metals Inc,29.01,206.88,12/31/2020,FINANCIAL,INVESTSVCE
AMSF,AMERISAFE Inc,59.23,1144.98,9/30/2020,FINANCIAL,INSURANCE
AMTB,Amerant Bancorp Inc,17.02,644.09,12/31/2020,FINANCIAL,BANKSUSA
ANAT,American National Group Inc,93.8,2522.02,9/30/2020,FINANCIAL,INSURANCE
ANH,Anworth Mortgage Asset Corp,2.8,277.59,9/30/2020,FINANCIAL,REIT
ANZBY,Australia & New Zealand Banking Group Ltd,20.94,59488.71,9/30/2020,FINANCIAL,BANKSINTL
AON,Aon plc,228.72,51576.36,12/31/2020,FINANCIAL,INSURANCE
AOREF,American Overseas Group Ltd,300,13.5,6/30/2020,FINANCIAL,INSURANCE
APAM,Artisan Partners Asset Management Inc,47.99,2947.81,12/31/2020,FINANCIAL,INVESTSVCE
APCX,AppTech Corp,5,439.11,9/30/2020,FINANCIAL,FINSPECIAL
APO,Apollo Global Management Inc,51,20613.01,12/31/2020,FINANCIAL,INVESTSVCE
AQFH,Aquesta Financial Holdings Inc,11.32,61.96,12/31/2020,FINANCIAL,BANKSUSA
ARBV,American Riviera Bank,16.9,85.91,12/31/2020,FINANCIAL,BANKSUSA
ARCC,Ares Capital Corp,17.97,7601.31,12/31/2020,FINANCIAL,INVESTSVCE
ARES,Ares Management Corp,50.3,7234.48,9/30/2020,FINANCIAL,INVESTSVCE
ARGO,Argo Group International Holdings Ltd,46.12,1600.09,12/31/2020,FINANCIAL,INSURANCE
ARI,Apollo Commercial Real Estate Finance Inc,13.07,1820.6,12/31/2020,FINANCIAL,REIT
ARKO,ARKO Corp,9.47,1216.21,9/30/2020,FINANCIAL,INVESTSVCE
AROW,Arrow Financial Corp,31.83,493.87,12/31/2020,FINANCIAL,BANKSUSA
ARR,Armour Residential REIT Inc,12.02,784.79,12/31/2020,FINANCIAL,REIT
ARZGY,"Assicurazioni Generali SPA, Trieste",9.43,29608.49,6/30/2020,FINANCIAL,INSURANCE
ASB,Associated Banc-Corp,19.98,3067.73,12/31/2020,FINANCIAL,BANKSUSA
ASLE,AerSale Corp,11,245.08,9/30/2020,FINANCIAL,INVESTSVCE
ASPS,Altisource Portfolio Solutions SA,10.74,168.04,9/30/2020,FINANCIAL,BANKSMORTG
ASRV,AmeriServ Financial Inc,4.06,69.26,12/31/2020,FINANCIAL,BANKSUSA
ASXFY,ASX Ltd,53.84,10422.86,12/31/2020,FINANCIAL,INVESTSVCE
ASXSF,Elysee Development Corp,0.5,13.36,9/30/2020,FINANCIAL,INVESTSVCE
ATAO,Altair International Corp,0.32,172.22,12/31/2020,FINANCIAL,INVESTSVCE
ATAX,America First Multifamily Investors LP,4.87,296.27,9/30/2020,FINANCIAL,BANKSMORTG
ATCX,Atlas Technical Consultants Inc,9.32,53.99,9/30/2020,FINANCIAL,INVESTSVCE
ATH,Athene Holding Ltd,46.64,8931.56,12/31/2020,FINANCIAL,INSURANCE
ATIF,ATIF Holdings Ltd,1.74,81.81,7/31/2020,FINANCIAL,INVESTSVCE
ATLC,Atlanticus Holdings Corp,33.07,479.8,9/30/2020,FINANCIAL,FINSPECIAL
ATLO,Ames National Corp,22.71,207.18,12/31/2020,FINANCIAL,BANKSUSA
ATMS,Artemis Therapeutics Inc,0.5,2.58,9/30/2020,FINANCIAL,INVESTSVCE
ATVK,Ameritek Ventures,0.06,20.83,8/31/2020,FINANCIAL,INVESTSVCE
AUB,Atlantic Union Bankshares Corp,37.09,2920.07,12/31/2020,FINANCIAL,BANKSUSA
AUBN,Auburn National Bancorporation Inc,39.8,141.94,12/31/2020,FINANCIAL,BANKSUSA
AUSAF,Australis Capital Inc,0.41,70.01,6/30/2020,FINANCIAL,INVESTSVCE
AVBH,Avidbank Holdings Inc,18.85,116.27,12/31/2020,FINANCIAL,BANKSUSA
AVCT,American Virtual Cloud Technologies Inc,7.98,157.63,9/30/2020,FINANCIAL,INVESTSVCE
AVVIY,Aviva PLC,10.53,20681.55,6/30/2020,FINANCIAL,INSURANCE
AWRRF,A&W Revenue Royalties Income Fund,26.85,377.64,12/31/2020,FINANCIAL,INVESTSVCE
AX,Axos Financial Inc.,45.87,2709.67,12/31/2020,FINANCIAL,BANKSUSA
AXAHY,"Axa, Paris",24.19,58484.14,6/30/2020,FINANCIAL,INSURANCE
AXBKY,Axis Bank Ltd,49.62,30383.67,12/31/2020,FINANCIAL,BANKSINTL
AXP,American Express Co,135.95,109439.75,12/31/2020,FINANCIAL,FINSPECIAL
AXS,AXIS Capital Holdings Ltd,50.39,4250.55,12/31/2020,FINANCIAL,INSURANCE
BAC,Bank of America Corp,35.15,304076.14,12/31/2020,FINANCIAL,BANKSUSA
BACHY,Bank of China Ltd,8.83,29548.77,6/30/2020,FINANCIAL,BANKSINTL
